user_id, title, author, publisher, isbn, language, no_of_exchanges, rating, genre
UxTG7LfKCWghnwSvMADkSM,HBR 20-Minute Manager Boxed Set (10 Books) (HBR 20-Minute Manager Series),Harvard Business Review,Harvard Business Review Press,9781633690967,English,0,0,Business & Economics 
LngMzaQk8SLRV3RrciP8ew,Financial Accounting Theory,Craig Deegan,McGraw-Hill Education Australia,9781743074626,English,3,4.7,Business & Economics 
HeqaP8onGiXookPed9vATJ,Accounting: An Introduction| 6/E,Peter Atrill,Pearson Higher Education AU,9781486009664,English,6,3.8,Business & Economics 
WdiyuzvrCuE97QgjjMrRuz,The Investment Advisor Body of Knowledge + Test Bank: Readings for the CIMA Certification,IMCA,John Wiley & Sons,9781118912348,English,4,0,Business & Economics 
di2EnkdQ6GaW8arcpPETax,Basics of the U.S. Health Care System: Edition 2,Nancy J. Niles,Jones & Bartlett Learning,9781284066043,English,7,2.3,Business & Economics 
oDyHeb9yCy5odHELJRGZ3E,Credit Risk Analytics: Measurement Techniques| Applications| and Examples in SAS,Bart Baesens,John Wiley & Sons,9781119278344,English,1,3.5,Business & Economics 
HL7WeGFEPWoUzCdDTDHprM,Advanced Accounting| 6th Edition: Edition 6,Debra C. Jeter,Wiley Global Education,9781119045946,English,6,1.0,Business & Economics 
oRjHjMSyPixHGS7gp8RVs7,Introduction to the Mathematics of Finance,Ruth J. Williams,American Mathematical Soc.,9780821839034,English,3,0,Business & Economics 
AxBaWmS4e2f3DEo6oSjRxp,Markets in Profile,James F. Dalton,John Wiley & Sons,9781118044643,English,9,0,Business & Economics 
NZEYgGD2PrntEftycFgXe4,Reforming Pensions: Principles and Policy Choices,Nicholas Barr,Oxford University Press,9780199885992,English,0,0,Business & Economics 
YhdRSY5wpqiQYWjjc3WwfC,Distressed Debt Analysis: Strategies for Speculative Investors,Stephen G. Moyer,J. Ross Publishing,9781932159189,English,3,0,Business & Economics 
djaKJmHFxcW9UV3YacdC3X,Mastering Private Equity: Transformation via Venture Capital| Minority Investments and Buyouts,Claudia Zeisberger,John Wiley & Sons,9781119327981,English,2,0,Business & Economics 
ArQCbhAJCads5oYzW4WaQh,Financial Modeling and Valuation: A Practical Guide to Investment Banking and Private Equity,Paul Pignataro,John Wiley & Sons,9781118558690,English,1,3.8,Business & Economics 
W62yC3Uq34VsjTxNCzPQaZ,Financial Accounting| 10th Edition: Edition 10,Jerry J. Weygandt,Wiley Global Education,9781119305828,English,7,5.0,Business & Economics 
duPoFczbyKogsQwLZ9riuc,Implementing Enterprise Risk Management: Case Studies and Best Practices,John Fraser,John Wiley & Sons,9781118746189,English,1,0,Business & Economics 
aMkRGSSLBmmJbxLBqZTx2N,Enterprise Risk Management: From Incentives to Controls| Edition 2,James Lam,John Wiley & Sons,9781118834435,English,0,0,Business & Economics 
HLWoKD2SBGHtCkQn99qnVo,Mastering Elliott Wave Principle,Constance Brown,John Wiley & Sons,9781118235157,English,7,3.7,Business & Economics 
AaEd5c73822oiJd22VJQw6,Working Capital Management: Applications and Case Studies,James Sagner,John Wiley & Sons,9781118933848,English,5,0,Business & Economics 
AicgGVMuFMDChc5gWBV6Pj,Cycle Analytics for Traders: Advanced Technical Trading Concepts,John F. Ehlers,John Wiley & Sons,9781118728604,English,6,0,Business & Economics 
FGX3BLpEqVyB6kFtb4qXHB,Trading and Exchanges: Market Microstructure for Practitioners,Larry Harris,Oxford University Press,9780199792702,English,9,1.0,Business & Economics 
DQetxNHKCSMbnSBSpRPpz5,Delivering Health Care in America: A Systems Approach: A Systems Approach| Edition 7,Leiyu Shi,Jones & Bartlett Learning,9781284152265,English,5,0,Business & Economics 
SH2rXH5QAM7ZeGc9tAwJXa,Funds: Private Equity| Hedge and All Core Structures,Matthew Hudson,John Wiley & Sons,9781118790380,English,3,0,Business & Economics 
cbq7sC9KHQe3hXyH2REysg,The Art of Company Valuation and Financial Statement Analysis: A Value Investor's Guide with Real-life Case Studies,Nicolas Schmidlin,John Wiley & Sons,9781118843055,English,1,2.0,Business & Economics 
JXhiKfHBEELcVqLwuAgTVM,Behavioral Finance: Understanding the Social| Cognitive| and Economic Debates,Edwin Burton,John Wiley & Sons,9781118331927,English,3,0,Business & Economics 
5AP9w7C97QKssAeu9qy4wm,Intermarket Analysis,John J. Murphy,John Wiley & Sons,9781118045558,English,3,4.3,Business & Economics 
hdvY369mGXd2x4ayb8Vcci,Technical Analysis of Stock Trends: Edition 10,Robert D. Edwards,CRC Press,9781439898192,English,9,0,Business & Economics 
GKRxAfHbBvakKrPErbMLa9,Applied Financial Macroeconomics and Investment Strategy: A Practitioner’s Guide to Tactical Asset Allocation,Robert T. McGee,Springer,9781137401809,English,4,4.3,Business & Economics 
f8QRCZTsGLmLFPNuyrgjmu,Quantitative Risk Management: Concepts| Techniques and Tools - Revised Edition,Alexander J. McNeil,Princeton University Press,9781400866281,English,6,4.3,Business & Economics 
5t7CpxaPoRGphzi6N2WKNa,Fundamentals of Futures and options markets,John Hull,Pearson Higher Education AU,9781486013685,English,6,4.0,Business & Economics 
LnyVdkFiKTudzdtYy3P6Q7,Implementing Enterprise Risk Management: From Methods to Applications,James Lam,John Wiley & Sons,9781118235362,English,4,0,Business & Economics 
fXAZXwi37QrofqKkbRjGo9,Evidence-Based Technical Analysis,David Aronson,John Wiley & Sons,9781118160589,English,2,3.0,Business & Economics 
Rt8qwjC5DaRFifbpg6ENgg,Entertainment Industry Economics: A Guide for Financial Analysis| Edition 9,Harold L. Vogel,Cambridge University Press,9781316062074,English,6,0,Business & Economics 
3prr2kVuzYnRxgmf9CpurE,Mortgage-Backed Securities,Frank J. Fabozzi,John Wiley & Sons,9781118149294,English,2,3.6,Business & Economics 
aof76eoRPB9iYqEFDc2PxZ,Real Estate Development and Investment: A Comprehensive Approach,S. P. Peca,John Wiley & Sons,9780470480274,English,0,4.3,Business & Economics 
4dWKVhNn8ihp5DNvgecYog,Shared Services in Finance and Accounting,Tom Olavi Bangemann,Routledge,9781351900522,English,0,3.0,Business & Economics 
LtDhgVSK8cYbrJDhUTaHCC,Fair Lending Compliance,Clark R. Abrahams,John Wiley & Sons,9780470241899,English,3,0,Business & Economics 
4skhhp3vgLTJRLFrWHqWdd,Governmental and Nonprofit Financial Management,Charles K. Coe PhD,Berrett-Koehler Publishers,9781567263916,English,4,0,Business & Economics 
DemGfGXM5b4keYvFM5gyGd,Trading Chaos,Justine Gregory-Williams,John Wiley & Sons,9780470586273,English,2,3.7,Business & Economics 
GuHmv2TNQMiE7YxU3cRfyg,Multinational Finance: Evaluating the Opportunities| Costs| and Risks of Multinational Operations| Edition 6,Kirt C. Butler,John Wiley & Sons,9781119219712,English,6,3.0,Business & Economics 
Kzynh2WEP8nStSHvJUVSR8,Profitable Candlestick Trading,Stephen W. Bigalow,John Wiley & Sons,9781118005804,English,4,3.5,Business & Economics 
StZJpXx8s2wsSoDtwwJr4i,Understanding Bitcoin: Cryptography| Engineering and Economics,Pedro Franco,John Wiley & Sons,9781119019145,English,9,4.6,Business & Economics 
YfYXJ9sGrWRC8Vuf9vWTF4,Forensic Accounting and Fraud Investigation for Non-Experts: Edition 3,Stephen Pedneault,John Wiley & Sons,9781118234808,English,8,0,Business & Economics 
NGYZXPD8DH97S2JTdThfPv,Intermediate Accounting| 16th Edition: Edition 16,Donald E. Kieso,Wiley Global Education,9781119175148,English,0,4.4,Business & Economics 
UyYoGJgc5jBhvTMaQtUdND,Expected Returns: An Investor's Guide to Harvesting Market Rewards,Antti Ilmanen,John Wiley & Sons,9781119990772,English,4,5.0,Business & Economics 
77ujtdMMBPb9Z8KZjseRSP,17 Proven Currency Trading Strategies: How to Profit in the Forex Market,Mario Singh,John Wiley & Sons,9781118385524,English,6,4.6,Business & Economics 
RRmyAqCRQMH8t8uMmqaghp,Fundamentals of Financial Instruments: An Introduction to Stocks| Bonds| Foreign Exchange| and Derivatives,Sunil Parameswaran,John Wiley & Sons,9780470829110,English,2,2.0,Business & Economics 
3ntQteUfjaQtuvvVtoRLkt,The Handbook of Mortgage-Backed Securities| 7th Edition: Edition 7,Frank J. Fabozzi,Oxford University Press,9780191088773,English,3,0,Business & Economics 
9Mqhbm95savk5K6m4f7itA,Commodities and Commodity Derivatives: Modeling and Pricing for Agriculturals| Metals and Energy,Helyette Geman,John Wiley & Sons,9780470687734,English,3,4.0,Business & Economics 
fjmJfsfTVmHWLDzi8F9FHe,Option Trading,Euan Sinclair,John Wiley & Sons,9780470642528,English,3,0,Business & Economics 
DwamLfoTFyCEz83PHxyRwU,Profiting from Market Trends: Simple Tools and Techniques for Mastering Trend Analysis,Tina Logan,John Wiley & Sons,9781118727003,English,8,4.0,Business & Economics 
8s4DpB2GEsZhmmKznboZAR,Permanent Make Up for Lips: for professional technician,Anna Savina,Anna Savina LLC,,English,1,4.3,Art 
azLRNPVLDswwntuRcX7dt8,The Emergence of the Classical Style in Greek Sculpture,Richard Neer,University of Chicago Press,9780226570655,English,8,1.0,Art 
gHmgXk2WsdKYofcxJxERn2,A Short History of the Ancient World,Nicholas K. Rauh,University of Toronto Press,9781442603875,English,6,0,Art 
Zndbd62a95hTnbjgF7MjSG,The Art Business,Iain Robertson,Routledge,9781134222421,English,6,0,Art 
5hED2PG56GLL8yoJWQ79DQ,The Erma Bombeck Collection: If Life Is a Bowl of Cherries| What Am I Doing in the Pits?| Motherhood| and The Grass Is Always Greener Over the Septic Tank,Erma Bombeck,Open Road Media,9781480430594,English,3,4.8,Family & Relationships 
DZCzzaBUishq5SPvv9SGk6,The World According to Snoopy Volume Two,Charles M. Schulz,Open Road Media,9781504050784,English,4,5.0,Comics & Graphic Novels 
NwzAqSL8UKm9R9vB7BqUpj,The World According to Snoopy Volume One,Charles M. Schulz,Open Road Media,9781504047067,English,1,5.0,Comics & Graphic Novels 
o3J7AkWU6s8PNpZwuVtswM,The Social Life of Inkstones: Artisans and Scholars in Early Qing China,Dorothy Ko,University of Washington Press,9780295999197,English,9,0,Art 
34gByU8JhNAsUmAPXmfV5Y,Egypt| Greece| and Rome: Civilizations of the Ancient Mediterranean| Edition 3,Charles Freeman,OUP Oxford,9780191509704,English,9,0,Art 
ZkrWtxCtCTpFrzzh8hzp68,At Home with the Sapa Inca: Architecture| Space| and Legacy at Chinchero,Stella Nair,University of Texas Press,9781477305508,English,4,0,Art 
6dspsFA4ksN46BqgqxTRG3,Writing for Visual Media: Edition 4,Anthony Friedmann,CRC Press,9781317964810,English,7,2.7,Art 
XQ23ASrtxFyjJdeDTMpfT4,Photography: The Key Concepts,David Bate,Berg,9781847883803,English,4,5.0,Art 
EJbpv8c8nBVqkCgfQCdmqq,Art and Sustainability,Sacha Kagan,transcript Verlag,9783839418031,English,9,0,Art 
cFGd2mvR5WzBGNyNvk3FzY,Collage and Architecture,Jennifer A.E. Shields,Routledge,9781134681617,English,2,0,Architecture 
J4xRQCRcWyY898PhqTEjn2,Critical Thinking About Sex| Love| and Romance in the Mass Media: Media Literacy Applications,Mary-Lou Galician,Routledge,9781135250478,English,4,0,Art 
EfSFHh6MGKZStcTXKaJVhL,The Disabled Body in Contemporary Art,Ann Millett-Gallant,Springer,9780230109971,English,1,0,Art 
JiETp4AXP8g7As6d2j7oPH,Strategic Management in the Arts,Lidia Varbanova,Routledge,9781136302442,English,2,4.0,Art 
DDsGRatzoFhjcZLyrvjJaf,Gardner's Art through the Ages: Backpack Edition| Book D: Renaissance and Baroque: Edition 15,Fred S. Kleiner,Cengage Learning,9781305544925,English,7,0,Art 
G9mfGdYsR8a5x2bxvnR7C9,Gardner's Art through the Ages: A Global History: Edition 15,Fred S. Kleiner,Cengage Learning,9781305544840,English,6,3.0,Art 
C4xdquCESQCWBWZuR2c8ZB,Gardner's Art through the Ages: Backpack Edition| Book B: The Middle Ages: Edition 15,Fred S. Kleiner,Cengage Learning,9781305544901,English,4,0,Art 
8qgth7pm4rF3axHQYGWJtM,Gardner's Art through the Ages: Backpack Edition| Book E: Modern Europe and America: Edition 15,Fred S. Kleiner,Cengage Learning,9781305544932,English,3,0,Art 
hKtVT777JaT432p34SAHCY,Gardner's Art through the Ages: Backpack Edition| Book A: Antiquity: Edition 15,Fred S. Kleiner,Cengage Learning,9781305544895,English,6,0,Art 
PwhFpBzG2QtKtKQ5oXRYBm,A History of Greek Art,Mark D. Stansbury-O'Donnell,John Wiley & Sons,9781118839454,English,0,0,Art 
JhPZDzUALLdvy8sscFu9nD,Concrete Construction Manual,Friedbert Kind-Barkauskas,Walter de Gruyter,9783955531638,English,5,0,Architecture 
gJnCURoWyb4mHS2AzwBoK3,The Art of City Sketching: A Field Manual,Michael C. Abrams,Routledge,9781136665455,English,1,3.0,Architecture 
TmxxmjEd4j9woUQEHMtzYj,The Complete Guide to Perspective Drawing: From One-Point to Six-Point,Craig Attebery,Routledge,9781315443546,English,6,0,Architecture 
Gn5KAq6jhT4zPbCJN28a2g,How to Cheat in 3ds Max 2015: Get Spectacular Results Fast,Michael McCarthy,CRC Press,9781317692492,English,9,3.8,Art 
76vALYsWqzcUCcYDGjPHG8,Bound to Appear: Art| Slavery| and the Site of Blackness in Multicultural America,Huey Copeland,University of Chicago Press,9780226013121,English,6,0,Art 
UUiJLtJnus6avSrHA9M3L7,The VES Handbook of Visual Effects: Industry Standard VFX Practices and Procedures| Edition 3,Jeffrey A. Okun| VES,Routledge,9781351009393,English,3,0,Art 
cPBNewEbD52HdQPi7Bdupt,Analysing Popular Music: Image| Sound and Text,David Machin,SAGE,9781446203378,English,8,3.0,Art 
B8k9xBvFAVyeAgpvE2KCwD,Modern Post: Workflows and Techniques for Digital Filmmakers,Scott Arundale,CRC Press,9781317753049,English,7,0,Art 
Jcy46hAX7qHpj7VQcZfnFo,Game Feel: A Game Designer's Guide to Virtual Sensation,Steve Swink,CRC Press,9781482267334,English,4,0,Art 
jTTrhKkBVdQQ9uTjASoQQU,Motion Graphic Design: Applied History and Aesthetics| Edition 3,Jon Krasner,Taylor & Francis,9781136146619,English,6,2.0,Art 
9gHucbzUogMJr73pgQAwnY,Museum Gallery Interpretation and Material Culture,Juliette Fritsch,Routledge,9781135767952,English,4,5.0,Art 
DwypaFgFfcrZ6PX7eF3V7F,Thinking About Exhibitions,Bruce W. Ferguson,Routledge,9781134820016,English,6,0,Art 
44ZbBXDvYEsSX6dYEzNmu9,Gender| Sexuality and Museums: A Routledge Reader,Amy K. Levin,Routledge,9781136943638,English,2,0,Art 
6MCoUdFyUgegnFfvZhYiTR,The Expert versus the Object: Judging Fakes and False Attributions in the Visual Arts,Ronald D. Spencer,Oxford University Press,9780195349030,English,4,3.0,Art 
ksJt2QJ5mUANrZ3fCHpMa5,Real-Time Collision Detection,Christer Ericson,CRC Press,9780080474144,English,2,3.0,Art 
k8U6QNtYSnhYxakjqkEaQ2,The Past is the Present; It's the Future Too: The Temporal Turn in Contemporary Art,Christine Ross,Bloomsbury Publishing USA,9781441147745,English,2,0,Art 
PiLn8nys7uVWoR2MGMXSAR,Graphic Design Solutions: Edition 5,Robin Landa,Cengage Learning,9781285657615,English,4,0,Art 
WAJDzumXmLfBY44o2t64Cj,Introduction to Cinematography: Learning Through Practice,Tania Hoser,Routledge,9781315305301,English,6,0,Art 
2MXe4Yu7Sczb7977dfZwLR,The Oxford Handbook of Synesthesia,Julia Simner,OUP Oxford,9780191663437,English,8,0,Art 
JYkxYsW4X6n4LnHoLazPq9,American Film and Society Since 1945| 5th Edition: Edition 5,Leonard Quart,ABC-CLIO,9781440833229,English,0,0,Art 
5HGcT6WfDKmHXWBknfZvyR,Tokyo Cyberpunk: Posthumanism in Japanese Visual Culture,Steven T. Brown,Springer,9780230110069,English,9,0,Art 
moenKb3vrQ5zRRWph3g7ti,Salome: The Image of a Woman Who Never Was; Salome,Rosina Neginsky,Cambridge Scholars Publishing,9781443869621,English,5,4.0,Art 
GYh9zsQkWXCMZZvSqfjYJE,Design Basics: Edition 9,Stephen Pentak,Cengage Learning,9781305464933,English,8,0,Art 
EhitP9qLVRwUd73tq935uB,Art and Agency: An Anthropological Theory,Alfred Gell,Clarendon Press,9780191512155,English,7,0,Art 
WGSxtcQw87juGYtRqqMyNY,Cosmopolitan Canvases: The Globalization of Markets for Contemporary Art,Olav Velthuis,OUP Oxford,9780191027543,English,3,0,Art 
MXXt5SbmPVugmMagERuJMB,Vienna – A Doctor’s Guide: 15 walking tours through Vienna’s medical history,Wolfgang Regal,Springer Science & Business Media,9783211489529,English,0,0,Architecture 
Pk7Dcu3XBPLx4qJ3nhbB5U,Artificial Intelligence for Games: Edition 2,Ian Millington,CRC Press,9780080885032,English,5,4.2,Art 
mzZqoPC5oniapCzeBkPZmW,Visible Learning for Teachers: Maximizing Impact on Learning,John Hattie,Routledge,9781136592324,English,0,3.9,Education 
eef8uSXLT8jwwF8rRiyx2t,Teaching Children and Adolescents Physical Education: Edition 4,George Graham,Human Kinetics,9781492585572,English,1,0,Education 
PSKcvMbWaT9bkwCgcg7q3N,Building on Student Diversity: Profiles and Activities,Joy R. Cowdery,SAGE Publications,9781483316925,English,0,3.5,Education 
QJEievGSEcjZwuimmKuDy3,Dialects in Schools and Communities: Edition 2,Carolyn Temple Adger,Routledge,9781135554873,English,5,0,Education 
bnoixgDt4gkovVkbb8TLYX,Best Practices in Literacy Instruction| Sixth Edition: Edition 6,Lesley Mandel Morrow,Guilford Publications,9781462536825,English,4,0,Education 
LqNZQPPBqZPWkmmhGyPmjS,How Students Learn: Science in the Classroom,National Research Council,National Academies Press,9780309133234,English,8,0,Education 
Cgyekds6HQ6WSD3iMQpMUd,Teaching and Learning STEM: A Practical Guide,Richard M. Felder,John Wiley & Sons,9781118925829,English,4,0,Education 
FyrQTYVxU2UYSw46DgwiYb,Visible Learning and the Science of How We Learn,John Hattie,Routledge,9781134643189,English,1,3.0,Education 
VxxULdhKpzNLr2RPqjamiP,What English Language Teachers Need to Know Volume III: Designing Curriculum,MaryAnn Christison,Routledge,9781135098575,English,7,0,Education 
AAJXsVQT3kM4BtqXU6ns4Y,Understanding Sociological Theory for Educational Practices: Edition 2,Tania Ferfolja,Cambridge University Press,9781108395335,English,6,0,Education 
d7R5B3x5ZLer3RNdMCLZvi,Assessment for Teaching: Edition 2,Patrick Griffin,Cambridge University Press,9781108565837,English,1,5.0,Education 
ebk47u7JGFRAjwxbLe7Ayg,Physical Best: Physical Education for Lifelong Fitness and Health| Edition 4,Jackie Conkle,Human Kinetics,9781492589761,English,7,0,Education 
CRBEey6CuUuDL5g8Gj2PvQ,Teaching Science in the Primary Classroom,Judith Roden,SAGE,9781847873774,English,0,0,Education 
Q7AUDEUakbiyx8i3hqk2y9,Controversy in the Classroom: The Democratic Power of Discussion,Diana E. Hess,Routledge,9781135897345,English,5,0,Education 
eqHFkoQMgZxgNbgFDUstuN,Mobile Learning: A Handbook for Developers| Educators| and Learners,Scott McQuiggan,John Wiley & Sons,9781118938959,English,1,0,Education 
M2CLPHdzFG7hKgFkC6aLKP,Mathematics Explained for Primary Teachers: Edition 6,Derek Haylock,SAGE,9781526454485,English,4,0,Education 
JPMr7WDyaWeWvcjsroGR5y,Dynamic Physical Education for Elementary School Children: Edition 19,Robert P. Pangrazi,Human Kinetics,9781492590286,English,8,0,Education 
gDe4fgMfwEFGAtLSQzyJAX,How Students Learn: History| Mathematics| and Science in the Classroom,National Research Council,National Academies Press,9780309133036,English,4,5.0,Education 
7fbtg95Ks47hVMA9NXFULN,Cooperative Learning: Integrating Theory and Practice,Robyn M. Gillies,SAGE,9781452236292,English,6,5.0,Education 
KbWdghDsxVoFrZ29vXdNGg,Child and Adolescent Life Stories: Perspectives from Youth| Parents| and Teachers,Katherine H. Voegtle,SAGE Publications,9781506320854,English,7,0,Education 
NVkAoTYdFBVE5sMpGJ3ZTq,Cooperative Learning in the Classroom: Putting it into Practice,Wendy Jolliffe,SAGE,9781848608474,English,4,4.5,Education 
3u88CL48agtKEYdXYm7B3t,Early Childhood Education: Becoming a Professional,Kimberly A. Gordon Biddle,SAGE Publications,9781483320687,English,4,0,Education 
LrodHjTDWvpDE6okhVt8Pt,Enriching the Lives of Children: Creating Meaningful and Novel Stimulus Experiences to Promote Cognitive| Moral and Emotional Development,Rosalyn M. King,Cambridge Scholars Publishing,9781443802741,English,3,0,Education 
iYvg5e6MxYYhKRWb5JgzxE,The Hundred Languages of Children: The Reggio Emilia Approach--advanced Reflections,Carolyn P. Edwards,Greenwood Publishing Group,9781567503111,English,2,5.0,Education 
jfGLFURN33vdXhHHqtLu6C,Early Numeracy: Assessment for Teaching and Intervention| Edition 2,Robert J Wright,SAGE,9781446203958,English,7,4.5,Education 
jLq8opdyn85ERwQC8DC3uh,Classroom Behaviour: A Practical Guide to Effective Teaching| Behaviour Management and Colleague Support| Edition 4,Bill Rogers,SAGE,9781473918283,English,3,5.0,Education 
Tb3ap9fvtzG8deUfe789iR,Handbook of Research on Student Engagement,Sandra L. Christenson,Springer Science & Business Media,9781461420187,English,4,0,Education 
LdBmih24GWLKc9ywuqUQ4v,Developing Active Learning in the Primary Classroom,Anitra Vickery,SAGE,9781446287217,English,6,0,Education 
LXgnUEWJv9C9qduUG9mS5f,A Handbook for Supplementary Aids and Services: A Best Practice and IDEA Guide "to Enable Children with Disabilities to be Educated with Nondisabled Children to the Maximum Extent Appropriate",Edward Burns,Charles C Thomas Publisher,9780398073435,English,2,4.0,Education 
gAuiyfv8NSWeZBm8dAeJ4Y,Developing Assessments for the Next Generation Science Standards,National Research Council,National Academies Press,9780309289542,English,2,4.7,Education 
8kEUUcurWm9jjc5HXpuMyb,Working Memory and Learning: A Practical Guide for Teachers,Susan Gathercole,SAGE,9781446200155,English,9,0,Education 
BPDGHyjTmR4ewyBKK2gpUa,Aboriginal and Torres Strait Islander Education: An Introduction for the Teaching Profession,Kaye Price,Cambridge University Press,9781139627634,English,8,5.0,Education 
jtcXgHXNCrnywnRmuvZwt7,The Jossey-Bass Reader on Educational Leadership: Edition 3,Margaret Grogan,John Wiley & Sons,9781118621509,English,2,5.0,Education 
